"","decile","pop","n_grid","dec_pop","tot_pop","rel_pop","rel_n","rel_n_round"
"10%",0.1,6,23,68,24833,0.00273829178915153,0.082148753674546,0
"20%",0.2,14,23,198,24833,0.00797326138605887,0.239197841581766,0
"30%",0.3,24,25,453,24833,0.0182418555953771,0.547255667861314,1
"40%",0.4,43,26,867,24833,0.034913220311682,1.04739660935046,1
"50%",0.5,67,24,1323,24833,0.053275882897757,1.59827648693271,2
"60%",0.6,93,24,1817,24833,0.0731687673660049,2.19506302098015,2
"70%",0.7,141,23,2741,24833,0.110377320500946,3.31131961502839,3
"80%",0.8,193,26,4204,24833,0.169290862964604,5.07872588893811,5
"90%",0.9,251,25,5462,24833,0.219949261063907,6.59847783191721,7
"100%",1,508,24,7701,24833,0.310111545121411,9.30334635364233,9
