"State Code","County Code","Site Number","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Duration Description","Pollutant Standard","Date (Local)","Year","Day In Year (Local)","Units of Measure","Exceptional Data Type","Nonreg Observation Count","Observation Count","Observation Percent","Nonreg Arithmetic Mean","Arithmetic Mean","Nonreg First Maximum Value","First Maximum Value","First Maximum Hour","AQI","Daily Criteria Indicator","Tribe Name","State Name","County Name","City Name","Local Site Name","Address","MSA or CBSA Name","Data Source"
"06","067","5003","61103","1","38.494475","-121.211131","WGS84","Wind Speed - Resultant","1 HOUR","","2017-01-01","2017","001","Knots","None","","24","100.0000","","6.958333","","11.1","12",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2017-01-01","2017","001","Parts per million","None","","17","100.0000","","0.027765","","0.029","13","27","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61104","1","38.494475","-121.211131","WGS84","Wind Direction - Resultant","1 HOUR","","2017-01-01","2017","001","Degrees Compass","None","","24","100.0000","","154.725","","199","22",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","62107","1","38.494475","-121.211131","WGS84","Indoor Temperature","1 HOUR","","2017-01-01","2017","001","Degrees Fahrenheit","None","","24","100.0000","","76.833333","","77","0",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","1 HOUR","Ozone 1-hour 1979","2017-01-01","2017","001","Parts per million","None","","23","96.0000","","0.024696","","0.032","21",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61103","1","38.494475","-121.211131","WGS84","Wind Speed - Resultant","1 HOUR","","2017-01-02","2017","002","Knots","None","","24","100.0000","","7.283333","","14.4","14",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","62107","1","38.494475","-121.211131","WGS84","Indoor Temperature","1 HOUR","","2017-01-02","2017","002","Degrees Fahrenheit","None","","24","100.0000","","76.666667","","77","0",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61104","1","38.494475","-121.211131","WGS84","Wind Direction - Resultant","1 HOUR","","2017-01-02","2017","002","Degrees Compass","None","","24","100.0000","","152.575","","184","7",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","1 HOUR","Ozone 1-hour 1979","2017-01-02","2017","002","Parts per million","None","","24","100.0000","","0.030292","","0.038","13",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2017-01-02","2017","002","Parts per million","None","","17","100.0000","","0.030353","","0.034","9","31","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61104","1","38.494475","-121.211131","WGS84","Wind Direction - Resultant","1 HOUR","","2017-01-03","2017","003","Degrees Compass","None","","24","100.0000","","134.483333","","161.8","3",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61103","1","38.494475","-121.211131","WGS84","Wind Speed - Resultant","1 HOUR","","2017-01-03","2017","003","Knots","None","","24","100.0000","","11.216667","","23.1","23",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","62107","1","38.494475","-121.211131","WGS84","Indoor Temperature","1 HOUR","","2017-01-03","2017","003","Degrees Fahrenheit","None","","24","100.0000","","76.583333","","77","1",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2017-01-03","2017","003","Parts per million","None","","17","100.0000","","0.034235","","0.037","16","34","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","1 HOUR","Ozone 1-hour 1979","2017-01-03","2017","003","Parts per million","None","","23","96.0000","","0.031522","","0.038","17",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61103","1","38.494475","-121.211131","WGS84","Wind Speed - Resultant","1 HOUR","","2017-01-04","2017","004","Knots","None","","24","100.0000","","8.866667","","24.1","0",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61104","1","38.494475","-121.211131","WGS84","Wind Direction - Resultant","1 HOUR","","2017-01-04","2017","004","Degrees Compass","None","","24","100.0000","","193.629167","","304.4","20",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2017-01-04","2017","004","Parts per million","None","","17","100.0000","","0.026235","","0.028","7","26","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","1 HOUR","Ozone 1-hour 1979","2017-01-04","2017","004","Parts per million","None","","24","100.0000","","0.030042","","0.037","0",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","62107","1","38.494475","-121.211131","WGS84","Indoor Temperature","1 HOUR","","2017-01-04","2017","004","Degrees Fahrenheit","None","","24","100.0000","","76.083333","","77","0",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61103","1","38.494475","-121.211131","WGS84","Wind Speed - Resultant","1 HOUR","","2017-01-05","2017","005","Knots","None","","24","100.0000","","3.5375","","5.4","14",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","62107","1","38.494475","-121.211131","WGS84","Indoor Temperature","1 HOUR","","2017-01-05","2017","005","Degrees Fahrenheit","None","","24","100.0000","","76.75","","77","0",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","1 HOUR","Ozone 1-hour 1979","2017-01-05","2017","005","Parts per million","None","","23","96.0000","","0.02187","","0.032","14",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2017-01-05","2017","005","Parts per million","None","","17","100.0000","","0.020647","","0.027","10","25","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61104","1","38.494475","-121.211131","WGS84","Wind Direction - Resultant","1 HOUR","","2017-01-05","2017","005","Degrees Compass","None","","24","100.0000","","293.558333","","336.5","10",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","88501","3","38.494475","-121.211131","WGS84","PM2.5 Raw Data","1 HOUR","","2017-01-05","2017","005","Micrograms/cubic meter (LC)","None","","9","38.0000","","3","","9","21",".","N","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61104","1","38.494475","-121.211131","WGS84","Wind Direction - Resultant","1 HOUR","","2017-01-06","2017","006","Degrees Compass","None","","24","100.0000","","232.216667","","351","19",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","62107","1","38.494475","-121.211131","WGS84","Indoor Temperature","1 HOUR","","2017-01-06","2017","006","Degrees Fahrenheit","None","","24","100.0000","","76.666667","","77","0",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","61103","1","38.494475","-121.211131","WGS84","Wind Speed - Resultant","1 HOUR","","2017-01-06","2017","006","Knots","None","","24","100.0000","","1.870833","","3.3","9",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2017-01-06","2017","006","Parts per million","None","","17","100.0000","","0.013","","0.021","10","19","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","1 HOUR","Ozone 1-hour 1979","2017-01-06","2017","006","Parts per million","None","","24","100.0000","","0.014083","","0.027","15",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","8-HR RUN AVG BEGIN HOUR","Ozone 8-hour 2015","2017-01-07","2017","007","Parts per million","None","","17","100.0000","","0.024353","","0.029","7","27","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","62107","1","38.494475","-121.211131","WGS84","Indoor Temperature","1 HOUR","","2017-01-07","2017","007","Degrees Fahrenheit","None","","24","100.0000","","76.083333","","79","7",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
"06","067","5003","44201","1","38.494475","-121.211131","WGS84","Ozone","1 HOUR","Ozone 1-hour 1979","2017-01-07","2017","007","Parts per million","None","","23","96.0000","","0.022261","","0.032","8",".","Y","","California","Sacramento","Not in a City","Sloughhouse","7520 SLOUGHHOUSE ROAD, SLOUGHHOUSE","Sacramento--Roseville--Arden-Arcade, CA","AQS Data Mart"
